episode,timestep,reward,coverage_pct,ep_steps
1,1704,-137.080,73.94,1704
2,3440,-222.722,59.22,1736
3,5180,-190.205,65.06,1740
4,6908,-204.561,62.27,1728
5,8604,-202.123,62.03,1696
6,10340,-352.725,36.18,1736
7,12104,-317.484,43.31,1764
8,13792,-204.763,61.37,1688
9,15512,-150.001,71.86,1720
10,17252,-203.201,62.76,1740
11,18988,-113.519,78.57,1736
12,20672,-151.480,71.02,1684
13,22396,-217.582,59.86,1724
14,24080,-206.082,61.05,1684
15,25808,-99.260,81.02,1728
16,27524,-131.820,75.06,1716
17,29276,-104.339,80.37,1752
18,30976,-83.799,83.53,1700
19,32684,-116.259,77.75,1708
20,34400,-135.722,74.36,1716
21,36096,-220.321,58.73,1696
22,37828,-151.240,71.82,1732
23,39500,-202.241,61.48,1672
24,41232,-101.839,80.60,1732
25,42960,-133.059,75.00,1728
26,44664,-114.979,77.93,1704
27,46416,-117.342,78.08,1752
28,48132,-247.523,54.31,1716
29,49828,-147.520,71.93,1696
30,51568,-78.403,84.83,1740
31,53260,-99.439,80.61,1692
32,54968,-166.960,68.62,1708
33,56716,-234.363,57.44,1748
34,58452,-113.521,78.57,1736
35,60160,-267.063,50.59,1708
36,61860,-111.101,78.59,1700
37,63592,-71.942,85.91,1732
38,65324,-105.739,79.91,1732
39,67044,-239.703,55.81,1720
40,68712,-130.762,74.58,1668
41,70432,-117.504,77.67,1720
42,72172,-152.504,71.72,1740
43,73876,-105.883,79.58,1704
44,75588,-168.243,68.46,1712
45,77320,-44.644,90.76,1732
46,79036,-139.624,73.66,1716
47,80740,-112.380,78.40,1704
48,82484,-139.482,74.08,1744
49,84212,-103.160,80.32,1728
50,85936,-83.685,83.76,1724
51,87668,-170.744,68.36,1732
52,89368,-72.104,85.65,1700
53,91096,-96.664,81.48,1728
54,92824,-52.466,89.35,1728
55,94576,-67.944,86.76,1752
56,96292,-259.222,52.21,1716
57,98004,-62.944,87.38,1712
58,99696,-50.045,89.60,1692
59,101368,-143.741,72.25,1672
60,103104,-143.423,73.27,1736
61,104788,-95.584,81.24,1684
62,106508,-108.399,79.30,1720
