episode,reward,coverage_pct,epsilon,q_states
1,393.200,100.00,0.99900,5
2,420.950,100.00,0.99800,10
3,407.000,100.00,0.99700,14
4,392.150,100.00,0.99600,19
5,397.350,100.00,0.99500,23
6,402.750,100.00,0.99400,28
7,409.900,100.00,0.99300,32
8,405.700,100.00,0.99200,36
9,408.750,100.00,0.99100,39
10,398.150,100.00,0.99000,41
11,409.000,100.00,0.98900,45
12,411.550,100.00,0.98800,49
13,398.950,100.00,0.98700,54
14,407.100,100.00,0.98600,59
15,415.000,100.00,0.98500,62
16,411.200,100.00,0.98400,65
17,387.550,100.00,0.98300,67
18,402.500,100.00,0.98200,69
19,418.250,100.00,0.98100,74
20,403.800,100.00,0.98000,77
21,416.000,100.00,0.97900,79
22,404.450,100.00,0.97800,82
23,402.000,100.00,0.97700,85
24,411.400,100.00,0.97600,88
25,423.750,100.00,0.97500,88
26,410.050,100.00,0.97400,91
27,411.250,100.00,0.97300,94
28,417.200,100.00,0.97200,95
29,409.250,100.00,0.97100,99
30,401.100,100.00,0.97000,102
31,394.650,100.00,0.96900,104
32,417.700,100.00,0.96800,105
33,389.050,100.00,0.96700,108
34,398.050,100.00,0.96600,111
35,401.850,100.00,0.96500,111
36,408.200,100.00,0.96400,113
37,406.200,100.00,0.96300,113
38,392.450,100.00,0.96200,116
39,399.650,100.00,0.96100,117
40,414.450,100.00,0.96000,119
41,415.800,100.00,0.95900,119
42,412.350,100.00,0.95800,121
43,422.550,100.00,0.95700,122
44,420.400,100.00,0.95600,122
45,402.800,100.00,0.95500,122
46,397.500,100.00,0.95400,126
47,427.500,100.00,0.95300,128
48,416.450,100.00,0.95200,130
49,411.650,100.00,0.95100,133
50,390.950,100.00,0.95000,134
51,408.800,100.00,0.94900,137
52,420.950,100.00,0.94800,137
53,404.350,100.00,0.94700,137
54,409.000,100.00,0.94600,138
55,394.650,100.00,0.94500,140
56,419.950,100.00,0.94400,140
57,394.900,100.00,0.94300,140
58,430.000,100.00,0.94200,140
59,413.900,100.00,0.94100,141
60,414.150,100.00,0.94000,142
61,413.750,100.00,0.93900,143
62,401.500,100.00,0.93800,144
63,420.800,100.00,0.93700,144
64,419.700,100.00,0.93600,146
65,397.350,100.00,0.93500,146
66,398.950,100.00,0.93400,146
67,387.600,100.00,0.93300,146
68,423.500,100.00,0.93200,149
69,415.900,100.00,0.93100,152
70,410.800,100.00,0.93000,154
71,397.350,100.00,0.92900,155
72,414.250,100.00,0.92800,158
73,398.250,100.00,0.92700,158
74,403.100,100.00,0.92600,158
75,406.350,100.00,0.92500,159
76,409.700,100.00,0.92400,159
77,407.800,100.00,0.92300,161
78,415.850,100.00,0.92200,162
79,414.300,100.00,0.92100,164
80,394.550,100.00,0.92000,165
81,411.850,100.00,0.91900,165
82,398.500,100.00,0.91800,168
83,417.100,100.00,0.91700,169
84,403.500,100.00,0.91600,169
85,393.700,100.00,0.91500,170
86,416.300,100.00,0.91400,173
87,400.200,100.00,0.91300,173
88,416.600,100.00,0.91200,174
89,405.350,100.00,0.91100,175
90,378.400,100.00,0.91000,177
91,397.350,100.00,0.90900,178
92,403.300,100.00,0.90800,178
93,402.450,100.00,0.90700,179
94,413.550,100.00,0.90600,179
95,412.150,100.00,0.90500,179
96,407.750,100.00,0.90400,180
97,421.300,100.00,0.90300,181
98,417.150,100.00,0.90200,182
99,400.750,100.00,0.90100,182
100,425.850,100.00,0.90000,183
101,405.750,100.00,0.89900,183
102,410.450,100.00,0.89800,183
103,392.550,100.00,0.89700,184
104,407.700,100.00,0.89600,184
105,410.050,100.00,0.89500,184
106,419.750,100.00,0.89400,185
107,410.600,100.00,0.89300,186
108,408.850,100.00,0.89200,187
109,392.750,100.00,0.89100,187
110,409.350,100.00,0.89000,188
111,408.550,100.00,0.88900,189
112,408.800,100.00,0.88800,190
113,407.050,100.00,0.88700,190
114,408.500,100.00,0.88600,190
115,414.100,100.00,0.88500,190
116,404.550,100.00,0.88400,190
117,419.800,100.00,0.88300,191
118,411.600,100.00,0.88200,191
119,413.350,100.00,0.88100,191
120,421.350,100.00,0.88000,193
121,413.650,100.00,0.87900,194
122,405.600,100.00,0.87800,195
123,411.250,100.00,0.87700,195
124,411.850,100.00,0.87600,195
125,401.950,100.00,0.87500,195
126,392.000,100.00,0.87400,198
127,409.900,100.00,0.87300,198
128,418.200,100.00,0.87200,198
129,405.950,100.00,0.87100,198
130,399.300,100.00,0.87000,198
131,408.900,100.00,0.86900,200
132,414.450,100.00,0.86800,200
133,417.200,100.00,0.86700,201
134,400.150,100.00,0.86600,202
135,423.500,100.00,0.86500,202
136,408.250,100.00,0.86400,202
137,415.400,100.00,0.86300,202
138,410.700,100.00,0.86200,202
139,420.050,100.00,0.86100,202
140,407.400,100.00,0.86000,203
141,397.450,100.00,0.85900,203
142,410.400,100.00,0.85800,203
143,406.100,100.00,0.85700,203
144,407.550,100.00,0.85600,203
145,417.300,100.00,0.85500,204
146,408.500,100.00,0.85400,204
147,403.900,100.00,0.85300,204
148,405.250,100.00,0.85200,204
149,411.500,100.00,0.85100,206
150,401.650,100.00,0.85000,206
151,397.250,100.00,0.84900,206
152,420.950,100.00,0.84800,207
153,415.150,100.00,0.84700,207
154,424.450,100.00,0.84600,207
155,407.850,100.00,0.84500,207
156,398.050,100.00,0.84400,207
157,415.700,100.00,0.84300,207
158,399.850,100.00,0.84200,208
159,414.050,100.00,0.84100,208
160,403.650,100.00,0.84000,208
161,401.400,100.00,0.83900,209
