episode,reward,coverage_pct,epsilon,q_states
1,179.650,100.00,0.99900,5
2,183.500,100.00,0.99800,10
3,178.200,100.00,0.99700,15
4,194.000,100.00,0.99600,19
5,198.650,100.00,0.99500,23
6,182.550,100.00,0.99400,27
7,169.400,100.00,0.99300,30
8,182.750,100.00,0.99200,34
9,184.800,100.00,0.99100,38
10,187.700,100.00,0.99000,39
11,195.000,100.00,0.98900,43
12,182.750,100.00,0.98800,48
13,172.850,100.00,0.98700,52
14,174.550,100.00,0.98600,55
15,188.100,100.00,0.98500,60
16,179.050,100.00,0.98400,64
17,176.750,100.00,0.98300,68
18,196.650,100.00,0.98200,73
19,180.700,100.00,0.98100,75
20,187.850,100.00,0.98000,79
21,174.950,100.00,0.97900,83
22,179.550,100.00,0.97800,85
23,182.450,100.00,0.97700,86
24,191.850,100.00,0.97600,88
25,189.350,100.00,0.97500,92
26,165.400,100.00,0.97400,95
27,196.250,100.00,0.97300,97
28,181.300,100.00,0.97200,100
29,179.100,100.00,0.97100,103
30,176.700,100.00,0.97000,106
31,188.600,100.00,0.96900,109
32,173.050,100.00,0.96800,112
33,180.400,100.00,0.96700,114
34,176.200,100.00,0.96600,117
35,184.500,100.00,0.96500,120
36,182.850,100.00,0.96400,121
37,181.700,100.00,0.96300,125
38,178.650,100.00,0.96200,129
39,180.750,100.00,0.96100,131
40,184.450,100.00,0.96000,134
41,178.850,100.00,0.95900,137
42,184.550,100.00,0.95800,139
43,184.200,100.00,0.95700,141
44,176.900,100.00,0.95600,141
45,171.450,100.00,0.95500,143
46,180.750,100.00,0.95400,145
47,171.000,100.00,0.95300,147
48,185.650,100.00,0.95200,149
49,190.000,100.00,0.95100,150
50,193.050,100.00,0.95000,151
51,182.650,100.00,0.94900,152
52,182.350,100.00,0.94800,156
53,180.750,100.00,0.94700,156
54,170.600,100.00,0.94600,157
55,181.200,100.00,0.94500,161
56,168.500,100.00,0.94400,162
57,180.850,100.00,0.94300,162
58,182.150,100.00,0.94200,165
59,186.800,100.00,0.94100,167
60,173.450,100.00,0.94000,168
61,178.350,100.00,0.93900,169
62,187.150,100.00,0.93800,173
63,178.400,100.00,0.93700,175
64,181.850,100.00,0.93600,176
65,183.850,100.00,0.93500,179
66,184.050,100.00,0.93400,180
67,178.650,100.00,0.93300,181
68,182.450,100.00,0.93200,184
69,186.700,100.00,0.93100,186
70,180.650,100.00,0.93000,189
71,175.200,100.00,0.92900,190
72,186.000,100.00,0.92800,192
73,191.550,100.00,0.92700,195
74,180.850,100.00,0.92600,197
75,191.800,100.00,0.92500,198
76,176.950,100.00,0.92400,198
77,181.750,100.00,0.92300,198
78,174.150,100.00,0.92200,199
79,166.050,100.00,0.92100,199
80,182.900,100.00,0.92000,199
81,188.550,100.00,0.91900,199
82,178.950,100.00,0.91800,200
83,175.700,100.00,0.91700,201
84,183.300,100.00,0.91600,202
85,185.250,100.00,0.91500,203
86,191.800,100.00,0.91400,205
87,172.300,100.00,0.91300,207
88,189.100,100.00,0.91200,207
89,174.150,100.00,0.91100,207
90,180.500,100.00,0.91000,207
91,192.150,100.00,0.90900,208
92,196.700,100.00,0.90800,210
93,179.800,100.00,0.90700,210
94,171.550,100.00,0.90600,211
95,180.200,100.00,0.90500,211
96,179.750,100.00,0.90400,211
97,180.300,100.00,0.90300,215
98,186.800,100.00,0.90200,219
99,174.100,100.00,0.90100,219
100,187.300,100.00,0.90000,219
101,180.500,100.00,0.89900,219
102,184.950,100.00,0.89800,219
103,181.250,100.00,0.89700,219
104,176.350,100.00,0.89600,220
105,182.450,100.00,0.89500,220
106,180.950,100.00,0.89400,220
107,183.450,100.00,0.89300,222
108,195.700,100.00,0.89200,224
109,192.050,100.00,0.89100,225
110,185.300,100.00,0.89000,227
111,175.400,100.00,0.88900,227
112,183.400,100.00,0.88800,227
113,188.700,100.00,0.88700,228
114,183.550,100.00,0.88600,228
115,187.900,100.00,0.88500,228
116,195.700,100.00,0.88400,231
117,180.650,100.00,0.88300,231
118,183.450,100.00,0.88200,232
119,185.350,100.00,0.88100,232
120,185.600,100.00,0.88000,232
121,172.500,100.00,0.87900,232
122,188.150,100.00,0.87800,232
123,194.500,100.00,0.87700,233
124,184.150,100.00,0.87600,233
125,172.000,100.00,0.87500,235
126,163.950,100.00,0.87400,235
127,190.350,100.00,0.87300,235
128,187.500,100.00,0.87200,236
129,180.400,100.00,0.87100,237
130,177.900,100.00,0.87000,237
131,194.950,100.00,0.86900,238
132,179.950,100.00,0.86800,240
133,186.350,100.00,0.86700,240
134,180.400,100.00,0.86600,242
135,173.800,100.00,0.86500,242
136,178.800,100.00,0.86400,243
137,169.550,100.00,0.86300,243
138,181.350,100.00,0.86200,244
139,187.200,100.00,0.86100,244
140,171.600,100.00,0.86000,244
141,185.350,100.00,0.85900,245
142,196.600,100.00,0.85800,247
143,177.950,100.00,0.85700,249
144,174.500,100.00,0.85600,250
145,182.050,100.00,0.85500,250
146,168.350,100.00,0.85400,251
147,185.050,100.00,0.85300,253
148,176.200,100.00,0.85200,253
149,176.600,100.00,0.85100,253
150,183.500,100.00,0.85000,254
151,192.000,100.00,0.84900,254
152,175.800,100.00,0.84800,254
153,186.950,100.00,0.84700,255
154,177.600,100.00,0.84600,256
155,177.050,100.00,0.84500,257
156,193.950,100.00,0.84400,257
157,178.450,100.00,0.84300,259
158,186.900,100.00,0.84200,259
159,186.350,100.00,0.84100,259
160,164.400,100.00,0.84000,259
161,176.350,100.00,0.83900,261
162,183.900,100.00,0.83800,261
163,183.100,100.00,0.83700,261
164,187.950,100.00,0.83600,262
165,181.450,100.00,0.83500,263
166,197.300,100.00,0.83400,264
167,170.700,100.00,0.83300,267
168,182.050,100.00,0.83200,267
169,178.850,100.00,0.83100,268
170,187.100,100.00,0.83000,270
171,180.800,100.00,0.82900,270
172,192.600,100.00,0.82800,271
173,173.800,100.00,0.82700,272
174,175.150,100.00,0.82600,274
175,181.700,100.00,0.82500,274
176,166.650,100.00,0.82400,276
177,182.700,100.00,0.82300,276
178,187.350,100.00,0.82200,276
179,184.250,100.00,0.82100,276
180,189.150,100.00,0.82000,276
181,179.100,100.00,0.81900,276
182,175.350,100.00,0.81800,276
183,190.500,100.00,0.81700,276
184,185.850,100.00,0.81600,277
185,173.650,100.00,0.81500,277
186,172.600,100.00,0.81400,277
187,185.500,100.00,0.81300,277
188,184.100,100.00,0.81200,277
189,181.150,100.00,0.81100,278
190,179.000,100.00,0.81000,278
191,187.950,100.00,0.80900,278
192,173.900,100.00,0.80800,278
193,187.900,100.00,0.80700,278
194,166.650,100.00,0.80600,278
195,174.750,100.00,0.80500,278
196,176.450,100.00,0.80400,278
197,189.350,100.00,0.80300,278
198,177.800,100.00,0.80200,278
199,174.150,100.00,0.80100,278
200,183.500,100.00,0.80000,278
201,177.400,100.00,0.79900,278
202,175.100,100.00,0.79800,278
203,166.700,100.00,0.79700,278
204,176.250,100.00,0.79600,278
205,168.550,100.00,0.79500,278
206,172.950,100.00,0.79400,278
207,182.500,100.00,0.79300,278
208,175.150,100.00,0.79200,279
209,169.500,100.00,0.79100,279
210,189.200,100.00,0.79000,279
