episode,timestep,reward,coverage_pct,ep_steps
1,780,83.991,68.21,780
2,1560,119.694,85.64,780
3,2340,96.594,74.36,780
4,3120,121.788,86.67,780
5,3900,75.597,64.10,780
6,4680,112.350,82.05,780
7,5460,135.441,93.33,780
8,6240,99.729,75.90,780
9,7020,116.544,84.10,780
10,7800,118.644,85.13,780
11,8580,107.097,79.49,780
12,9360,129.150,90.26,780
13,10140,111.291,81.54,780
14,10920,112.332,82.05,780
15,11700,98.697,75.38,780
16,12480,109.188,80.51,780
17,13260,122.847,87.18,780
18,14040,17.838,35.90,780
19,14820,131.244,91.28,780
20,15600,120.747,86.15,780
21,16380,123.884,87.69,780
22,17160,128.093,89.74,780
23,17940,109.188,80.51,780
24,18720,127.047,89.23,780
25,19500,116.538,84.10,780
26,20280,92.382,72.31,780
27,21060,139.634,95.38,780
28,21840,121.788,86.67,780
29,22620,131.234,91.28,780
30,23400,127.035,89.23,780
31,24180,121.794,86.67,780
32,24960,127.037,89.23,780
33,25740,132.288,91.79,780
34,26520,132.299,91.79,780
35,27300,121.797,86.67,780
36,28080,128.094,89.74,780
37,28860,139.637,95.38,780
38,29640,136.487,93.85,780
39,30420,133.347,92.31,780
40,31200,99.744,75.90,780
41,31980,125.994,88.72,780
42,32760,127.044,89.23,780
43,33540,139.634,95.38,780
44,34320,138.584,94.87,780
45,35100,133.344,92.31,780
46,35880,126.000,88.72,780
47,36660,127.043,89.23,780
48,37440,122.841,87.18,780
49,38220,131.247,91.28,780
50,39000,134.381,92.82,780
51,39780,136.490,93.85,780
52,40560,118.641,85.13,780
53,41340,142.796,96.92,780
54,42120,70.347,61.54,780
55,42900,120.738,86.15,780
56,43680,139.637,95.38,780
57,44460,133.341,92.31,780
58,45240,133.331,92.31,780
59,46020,135.443,93.33,780
60,46800,129.144,90.26,780
61,47580,134.394,92.82,780
62,48360,140.674,95.90,780
63,49140,129.140,90.26,780
64,49920,133.325,92.31,780
65,50700,132.297,91.79,780
66,51480,127.047,89.23,780
67,52260,132.284,91.79,780
68,53040,131.237,91.28,780
69,53820,125.978,88.72,780
70,54600,130.175,90.77,780
71,55380,98.697,75.38,780
72,56160,123.900,87.69,780
73,56940,123.890,87.69,780
74,57720,124.925,88.21,780
75,58500,132.277,91.79,780
76,59280,123.894,87.69,780
77,60060,132.296,91.79,780
78,60840,137.525,94.36,780
79,61620,114.447,83.08,780
80,62400,133.334,92.31,780
81,63180,134.374,92.82,780
82,63960,140.690,95.90,780
83,64740,141.740,96.41,780
84,65520,136.490,93.85,780
85,66300,142.775,96.92,780
86,67080,138.593,94.87,780
87,67860,138.587,94.87,780
88,68640,138.587,94.87,780
89,69420,139.634,95.38,780
90,70200,140.696,95.90,780
91,70980,139.643,95.38,780
92,71760,140.690,95.90,780
93,72540,144.871,97.95,780
94,73320,139.640,95.38,780
95,74100,145.949,98.46,780
96,74880,141.746,96.41,780
97,75660,141.740,96.41,780
98,76440,145.924,98.46,780
99,77220,138.596,94.87,780
100,78000,142.781,96.92,780
101,78780,145.931,98.46,780
102,79560,143.840,97.44,780
103,80340,140.690,95.90,780
104,81120,142.787,96.92,780
105,81900,144.884,97.95,780
106,82680,145.940,98.46,780
107,83460,141.740,96.41,780
108,84240,139.649,95.38,780
109,85020,145.943,98.46,780
110,85800,145.934,98.46,780
111,86580,142.790,96.92,780
112,87360,141.743,96.41,780
113,88140,144.881,97.95,780
114,88920,145.943,98.46,780
115,89700,138.587,94.87,780
116,90480,141.749,96.41,780
117,91260,144.890,97.95,780
118,92040,145.934,98.46,780
119,92820,140.690,95.90,780
120,93600,141.743,96.41,780
121,94380,140.684,95.90,780
122,95160,143.840,97.44,780
123,95915,200.752,100.00,755
124,96695,146.974,98.97,780
125,97475,148.040,99.49,780
126,98255,148.005,99.49,780
127,99035,141.734,96.41,780
128,99815,140.671,95.90,780
129,100595,145.931,98.46,780
130,101375,148.018,99.49,780
131,102155,144.893,97.95,780
132,102935,148.037,99.49,780
133,103715,142.778,96.92,780
134,104495,144.896,97.95,780
135,105275,146.993,98.97,780
136,106055,146.974,98.97,780
137,106835,148.046,99.49,780
138,107615,141.734,96.41,780
139,108395,144.893,97.95,780
140,109175,148.031,99.49,780
141,109955,146.990,98.97,780
142,110735,146.990,98.97,780
143,111515,143.828,97.44,780
144,112295,145.931,98.46,780
145,113075,147.993,99.49,780
146,113855,146.997,98.97,780
147,114635,148.018,99.49,780
148,115415,145.925,98.46,780
149,115963,215.243,100.00,548
150,116743,141.749,96.41,780
151,117523,145.934,98.46,780
152,118303,145.943,98.46,780
153,119083,148.012,99.49,780
154,119863,148.040,99.49,780
155,120643,144.893,97.95,780
156,121398,200.753,100.00,755
157,122178,145.934,98.46,780
158,122958,145.928,98.46,780
159,123738,142.790,96.92,780
160,124518,142.793,96.92,780
161,125298,146.962,98.97,780
162,126078,145.918,98.46,780
163,126858,144.881,97.95,780
164,127638,145.943,98.46,780
165,128396,200.543,100.00,758
166,129176,144.896,97.95,780
167,129956,146.978,98.97,780
168,130736,146.990,98.97,780
169,131516,145.934,98.46,780
170,132296,144.878,97.95,780
171,133076,148.028,99.49,780
172,133856,145.937,98.46,780
173,134636,142.787,96.92,780
174,135416,142.774,96.92,780
175,136196,139.646,95.38,780
176,136976,144.887,97.95,780
177,137677,204.532,100.00,701
178,138457,145.927,98.46,780
179,139237,146.987,98.97,780
180,140017,145.937,98.46,780
181,140797,148.040,99.49,780
182,141577,139.646,95.38,780
183,142273,204.883,100.00,696
184,143053,148.012,99.49,780
185,143833,143.827,97.44,780
186,144613,147.996,99.49,780
187,145393,146.996,98.97,780
188,146173,145.927,98.46,780
189,146953,144.878,97.95,780
190,147733,141.740,96.41,780
191,148513,36.741,45.13,780
192,149293,146.990,98.97,780
193,150073,145.946,98.46,780
194,150780,204.112,100.00,707
195,151560,142.790,96.92,780
196,152248,205.443,100.00,688
197,153028,143.825,97.44,780
198,153681,207.893,100.00,653
